participant,blockID,trialID,condition,screenID,leftImage,rightImage,cue,congruency,correctObject,response,acc,rt
34,2,19,retro,retrieval,NA,NA,NA,congruent,image149,image302,FALSE,3591.2000000476837
34,2,19,retro,retrieval,NA,NA,NA,incongruent,image414,image419,FALSE,4327.200000047684
34,2,20,retro,memory,image250,image30,left,incongruent,NA,NULL,FALSE,NA
34,2,20,retro,memory,image303,image284,left,congruent,NA,left,TRUE,1502.2000000476837
34,2,20,retro,memory,image13,image76,left,incongruent,NA,right,TRUE,1747.2000000476837
34,2,20,retro,retrieval,NA,NA,NA,congruent,image303,image303,TRUE,9525
34,2,20,retro,retrieval,NA,NA,NA,incongruent,image13,image303,FALSE,297.10000002384186
34,2,20,retro,retrieval,NA,NA,NA,incongruent,image250,image13,FALSE,1341.2999999523163
34,3,1,pre,memory,image195,image359,right,congruent,NA,right,TRUE,1115.6000000238419
34,3,1,pre,memory,image297,image220,left,incongruent,NA,right,TRUE,1410.2000000476837
34,3,1,pre,memory,image399,image118,right,incongruent,NA,right,FALSE,1599.0999999046326
34,3,1,pre,retrieval,NA,NA,NA,congruent,image359,image359,TRUE,3650.7000000476837
34,3,1,pre,retrieval,NA,NA,NA,incongruent,image297,image297,TRUE,1423.3999999761581
34,3,1,pre,retrieval,NA,NA,NA,incongruent,image118,image118,TRUE,2086.2999999523163
34,3,2,pre,memory,image164,image422,left,congruent,NA,left,TRUE,1472
34,3,2,pre,memory,image158,image204,right,incongruent,NA,right,FALSE,1207.6000000238419
34,3,2,pre,memory,image287,image307,left,congruent,NA,left,TRUE,1524
34,3,2,pre,retrieval,NA,NA,NA,congruent,image287,image287,TRUE,1190.2000000476837
34,3,2,pre,retrieval,NA,NA,NA,incongruent,image204,image204,TRUE,3195
34,3,2,pre,retrieval,NA,NA,NA,congruent,image164,image164,TRUE,2193.2000000476837
34,3,3,pre,memory,image332,image342,right,incongruent,NA,left,TRUE,1608.5999999046326
34,3,3,pre,memory,image4,image417,right,incongruent,NA,NULL,FALSE,NA
34,3,3,pre,memory,image343,image47,right,congruent,NA,right,TRUE,1497.2000000476837
34,3,3,pre,retrieval,NA,NA,NA,incongruent,image342,image4,FALSE,5264
34,3,3,pre,retrieval,NA,NA,NA,congruent,image47,image47,TRUE,4565
34,3,3,pre,retrieval,NA,NA,NA,incongruent,image417,image417,TRUE,3591
34,3,4,pre,memory,image79,image278,right,congruent,NA,right,TRUE,1204.2999999523163
34,3,4,pre,memory,image312,image182,right,incongruent,NA,left,TRUE,1560.7000000476837
34,3,4,pre,memory,image418,image344,left,incongruent,NA,NULL,FALSE,NA
34,3,4,pre,retrieval,NA,NA,NA,congruent,image278,image278,TRUE,4926.5
34,3,4,pre,retrieval,NA,NA,NA,incongruent,image418,image418,TRUE,5110.799999952316
34,3,4,pre,retrieval,NA,NA,NA,incongruent,image182,image182,TRUE,2008.7000000476837
34,3,5,pre,memory,image288,image314,left,incongruent,NA,left,FALSE,1239.0999999046326
34,3,5,pre,memory,image90,image28,left,incongruent,NA,left,FALSE,1917.2999999523163
34,3,5,pre,memory,image401,image266,right,congruent,NA,left,FALSE,1485.9000000953674
34,3,5,pre,retrieval,NA,NA,NA,incongruent,image288,image288,TRUE,9706.899999976158
34,3,5,pre,retrieval,NA,NA,NA,congruent,image266,image401,FALSE,4399.899999976158
34,3,5,pre,retrieval,NA,NA,NA,incongruent,image90,image266,FALSE,1569.3000000715256
34,3,6,pre,memory,image172,image9,right,incongruent,NA,left,TRUE,1531.3000000715256
34,3,6,pre,memory,image27,image391,right,incongruent,NA,NULL,FALSE,NA
34,3,6,pre,memory,image384,image334,left,incongruent,NA,NULL,FALSE,NA
34,3,6,pre,retrieval,NA,NA,NA,incongruent,image384,image384,TRUE,2258.5
34,3,6,pre,retrieval,NA,NA,NA,incongruent,image9,image9,TRUE,2749
34,3,6,pre,retrieval,NA,NA,NA,incongruent,image391,image391,TRUE,711.2000000476837
34,3,7,pre,memory,image132,image197,left,congruent,NA,left,TRUE,1245.2999999523163
34,3,7,pre,memory,image55,image78,left,congruent,NA,left,TRUE,1380.7999999523163
34,3,7,pre,memory,image214,image167,right,congruent,NA,right,TRUE,1534
34,3,7,pre,retrieval,NA,NA,NA,congruent,image132,image55,FALSE,5305
34,3,7,pre,retrieval,NA,NA,NA,congruent,image55,image333,FALSE,4886
34,3,7,pre,retrieval,NA,NA,NA,congruent,image167,image167,TRUE,557.6999999284744
34,3,8,pre,memory,image280,image245,left,incongruent,NA,left,FALSE,1717.2999999523163
34,3,8,pre,memory,image99,image286,left,congruent,NA,NULL,FALSE,NA
34,3,8,pre,memory,image389,image308,right,congruent,NA,right,TRUE,1061.4000000953674
34,3,8,pre,retrieval,NA,NA,NA,incongruent,image280,image286,FALSE,2003.5
34,3,8,pre,retrieval,NA,NA,NA,congruent,image308,image308,TRUE,649.1999999284744
34,3,8,pre,retrieval,NA,NA,NA,congruent,image99,image99,TRUE,2580
34,3,9,pre,memory,image426,image94,right,congruent,NA,right,TRUE,1214.6000000238419
34,3,9,pre,memory,image82,image2,left,incongruent,NA,right,TRUE,1438.3000000715256
34,3,9,pre,memory,image43,image410,right,congruent,NA,left,FALSE,1739.2999999523163
